나라,도시,Latitude,Longitude,icon
아일랜드,더블린,53.3498053,-6.2603097,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
아일랜드,코크,51.8985143,-8.4756035,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
안도라,안도라라베야,42.5063174,1.5218355,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
안도라,Soldeu,42.577791,1.6660487,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
알바니아,베라트,40.7086377,19.9437314,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
알바니아,코르처,40.6140785,20.7778071,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
에스토니아,탈린,59.4369608,24.7535746,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
에스토니아,나르바,59.3796931,28.179075,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
에스토니아,쿠레사레,58.2549526,22.4918977,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
영국,Liverpool,53.40764675,-2.991935378,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
영국,옥스퍼드,51.7520209,-1.2577263,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
영국,브리스톨,51.454513,-2.58791,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
영국,요크,53.9614205,-1.0739108,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
영국령 버진 아일랜드,로드타운,18.4286115,-64.6184657,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
영국령 버진 아일랜드,데 베쓰,18.43060578,-64.44371322,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
오스트리아,잘츠부르크,47.80949,13.05501,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
오스트리아,할슈타트,47.5622342,13.6492617,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
우루과이,콜로니아델사크라멘토,-34.4635328,-57.8346094,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이스라엘,텔아비브야파,32.049357,34.758355,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이스라엘,예루살렘,31.768319,35.21371,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이스라엘,하이파,32.7940463,34.989571,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
이스라엘,나자렛,32.699635,35.303546,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
